CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,actproxy,RecencyClusters,freqscore,FreqClusters,cardbalance,revenue,RevenueClusters,Score,Segments
C10001,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000.0,201.802084,139.50978700000002,0.0,12,0.16666666666666666,0,0.25,0,959.099251,1054.499251,0,0,Low-Value
C10002,3202.467416,0.909091,0.0,0.0,0.0,6442.9454829999995,0.0,0.0,0.0,0.25,4,0,7000.0,4103.032596999999,1072.340217,0.22222199999999998,12,0.0,0,0.0,0,3797.532584,3797.532584,0,0,Low-Value
C10005,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,244.79123700000002,0.0,12,0.08333333333333333,0,0.166666,0,382.285665,398.285665,0,0,Low-Value
C10012,630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0,6,2000.0,705.618627,155.549069,0.0,12,0.5,0,0.5,0,1369.205256,2861.385256,0,0,Low-Value
C10015,2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1,0,3000.0,805.647974,989.962866,0.0,12,0.0,0,0.0,0,227.22726599999987,227.22726599999987,0,0,Low-Value
C10017,2072.074354,0.875,0.0,0.0,0.0,2784.274703,0.0,0.0,0.0,0.25,3,0,3000.0,391.974562,376.579631,0.0,8,0.0,0,0.0,0,927.9256460000001,927.9256460000001,0,0,Low-Value
C10025,5368.5712189999995,1.0,0.0,0.0,0.0,798.9498629999999,0.0,0.0,0.0,0.363636,4,0,6000.0,1422.726707,1657.002877,0.0,11,0.0,0,0.0,0,631.4287810000005,631.4287810000005,0,0,Low-Value
C10027,1615.96724,1.0,102.0,102.0,0.0,244.840485,0.166667,0.166667,0.0,0.25,5,2,1700.0,890.1788449999999,971.183209,0.0,12,0.16666666666666666,0,0.333334,0,84.03276000000005,186.03276000000005,0,0,Low-Value
C10036,1656.350781,1.0,0.0,0.0,0.0,99.26436700000001,0.0,0.0,0.0,0.083333,1,0,1800.0,351.500199,634.5693110000001,0.0,12,0.0,0,0.0,0,143.6492189999999,143.6492189999999,0,0,Low-Value
C10037,7427.076940999999,1.0,0.0,0.0,0.0,8873.375046,0.0,0.0,0.0,0.727273,11,0,9000.0,1636.361601,1986.843608,0.0,11,0.0,0,0.0,0,1572.9230590000006,1572.9230590000006,0,0,Low-Value
C10039,6269.418144,1.0,204.0,204.0,0.0,2925.699862,0.083333,0.083333,0.0,0.333333,12,2,9000.0,1237.111661,2049.408839,0.0,12,0.16666666666666666,0,0.166666,0,2730.581856,2934.581856,0,0,Low-Value
C10041,663.44781,0.727273,0.0,0.0,0.0,3133.063934,0.0,0.0,0.0,0.25,3,0,1800.0,3067.05783,283.33344500000004,0.166667,12,0.0,0,0.0,0,1136.5521899999999,1136.5521899999999,0,0,Low-Value
C10044,4104.710798,1.0,203.82,203.82,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,4500.0,868.275275,1801.264841,0.0,12,0.08333333333333333,0,0.166666,0,395.28920199999993,599.1092019999999,0,0,Low-Value
C10045,1360.742377,1.0,0.0,0.0,0.0,1481.5870929999999,0.0,0.0,0.0,0.083333,1,0,1500.0,378.294227,321.35413700000004,0.0,12,0.0,0,0.0,0,139.25762299999997,139.25762299999997,0,0,Low-Value
C10049,3910.1112369999996,1.0,0.0,0.0,0.0,1980.873201,0.0,0.0,0.0,0.5,7,0,4200.0,0.0,,0.0,12,0.0,0,0.0,0,289.8887630000004,289.8887630000004,0,0,Low-Value
